bin,time_start,time_end,density_veh_per_mile,flow_vph,speed_mph,N_mainline,density_bin,scenario
83,4980.0,5039.9,36.20746656029224,1572.8136017576257,43.427375970968605,85.72833333333334,40.0,Medium
84,5040.0,5099.9,35.319825070070635,1502.5094692090906,42.58139831751215,83.62666666666667,40.0,Medium
85,5100.0,5159.9,36.71006451748353,1477.2321223167655,40.234385928674605,86.91833333333334,40.0,Medium
86,5160.0,5219.9,36.79875827463494,1573.7884751530305,42.76642718349376,87.12833333333333,40.0,Medium
87,5220.0,5279.9,36.537604434133584,1486.5833136355739,40.69557515756372,86.51,40.0,Medium
88,5280.0,5339.9,38.53954923840815,1583.8871016195833,41.11096925526685,91.25,40.0,Medium
89,5340.0,5399.9,37.17605870188219,1616.9258913287727,43.49482822895776,88.02166666666666,40.0,Medium
90,5400.0,5459.9,35.093163246239264,1511.745735183819,43.11098156468334,83.09,40.0,Medium
91,5460.0,5519.9,35.84776410073377,1574.6517470698382,43.91286061680511,84.87666666666667,40.0,Medium
92,5520.0,5579.9,36.106806185112475,1587.9720423317149,43.98866545009786,85.49,40.0,Medium
93,5580.0,5639.9,35.28392521598555,1526.0128553956915,43.27541470098997,83.54166666666667,40.0,Medium
94,5640.0,5699.9,37.07962183894772,1540.5525936096938,41.54818607772453,87.79333333333334,40.0,Medium
95,5700.0,5759.9,36.649527508634165,1559.6300045473174,42.60477671703477,86.775,40.0,Medium
96,5760.0,5819.9,37.59207465804473,1511.7046818424126,40.23990259871211,89.00666666666666,40.0,Medium
97,5820.0,5879.9,36.02444769632903,1539.657000049518,42.73332313023782,85.295,40.0,Medium
98,5880.0,5939.9,36.550978889577046,1586.4345624314155,43.42951984073008,86.54166666666667,40.0,Medium
99,5940.0,5999.9,37.6885115209792,1564.3155801663997,41.53435094309781,89.235,40.0,Medium
10,600.0,659.9,44.98533284345114,1899.4232142247354,42.223496602693814,106.51166666666667,40.0,Heavy
11,660.0,719.9,43.970985985870385,1909.7658193701793,43.437871363523286,104.11,40.0,Heavy
12,720.0,779.9,43.88088439130388,1888.2543977960281,43.03705438612147,103.89666666666666,40.0,Heavy
13,780.0,839.9,46.63461437524275,1980.4525189905207,42.46885132317569,110.41666666666667,50.0,Heavy
14,840.0,899.9,45.86945474013499,1985.3370830667152,43.30154759561586,108.605,50.0,Heavy
15,900.0,959.9,46.07640684015493,1990.5437438282033,43.214070807760734,109.095,50.0,Heavy
16,960.0,1019.9,48.012887204627276,2034.1155133324742,42.3643749002637,113.68,50.0,Heavy
17,1020.0,1079.9,46.78877257219638,2009.554491057663,42.969548558974466,110.78166666666667,50.0,Heavy
18,1080.0,1139.9,47.30122539129338,2034.6636697883637,43.04052198570275,111.995,50.0,Heavy
19,1140.0,1199.9,48.67738646455526,2044.4592305946687,42.002342621826195,115.25333333333333,50.0,Heavy
20,1200.0,1259.9,48.65908457815894,2088.7934234284894,42.95953424013347,115.21,50.0,Heavy
21,1260.0,1319.9,49.18772752752962,2087.179658837015,42.47543019612092,116.46166666666667,50.0,Heavy
